league,player_name,age,position,nationality_group,height,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
EUROPE 1,Abderrahman Rebbach,25-27,F,CAF,171-178,30,15,1509.0,1.0,4.0,0.0,0.0,0,0,8,0.0,0,0.2982107355864811,1.4910536779324055,0.7157057654075546,0.0596421471172962,0.2385685884691848,0.2982107355864811,0.0596421471172962,27.37574552683897,1.7892644135188869,2.5049701789264414,0.0,0.8946322067594433,3.3996023856858844,13.479125248508948,5.844930417495029,2.982107355864811,1.013916500994036,1.4314115308151092,1.7892644135188869,2.3856858846918487,0.4771371769383697,0.0,0.0,17.58169934640523,48.0,43.36283185840708,34.0,6.656962864721486
EUROPE 1,Abdessamad Ezzalzouli,21-24,M,CAF,171-178,29,26,2255.0,10.0,8.0,1.0,0.0,0,0,3,0.0,0,0.1596452328159645,2.11529933481153,1.037694013303769,0.3991130820399113,0.319290465631929,0.7184035476718403,0.3991130820399113,31.84922394678492,1.277161862527716,2.11529933481153,0.0399113082039911,0.6385809312638581,2.753880266075388,14.966740576496674,7.742793791574279,3.432372505543237,1.5565410199556542,0.9977827050997784,2.8337028824833705,1.1175166297117516,0.1197339246119734,0.0,0.0,23.9874686716792,49.0566037735849,51.73333333333333,45.34883720930232,7.3793791574279375
EUROPE 1,Abdou Harroui,25-27,M,CAF,179-186,23,11,929.0,1.0,0.0,0.0,0.0,1,0,3,0.0,0,0.193756727664155,0.581270182992465,0.193756727664155,0.0968783638320775,0.0,0.0968783638320775,0.0,34.973089343379975,1.356297093649085,2.6157158234660924,0.4843918191603875,0.0968783638320775,2.71259418729817,10.656620021528523,3.8751345532831,2.32508073196986,1.0656620021528525,0.77502691065662,0.0968783638320775,2.131324004305705,0.2906350914962325,0.0,0.0,18.678670360110804,33.33333333333333,36.36363636363637,45.83333333333333,6.4900755124056095
EUROPE 1,Abdoul Ouattara,16-20,M,UEFA,171-178,28,19,1775.0,2.0,0.0,1.0,0.0,0,0,2,0.0,0,0.0507042253521126,1.0140845070422535,0.5577464788732395,0.1014084507042253,0.0,0.1014084507042253,0.1014084507042253,43.70704225352112,0.3042253521126761,1.1661971830985915,0.0507042253521126,1.064788732394366,2.230985915492958,4.766197183098591,2.332394366197183,1.1661971830985915,0.4056338028169014,0.3549295774647887,0.5577464788732395,0.6084507042253522,0.1014084507042253,0.0,0.0,37.67053364269142,55.00000000000001,48.93617021276596,34.78260869565217,6.667718309859155
EUROPE 1,Abdoulaye Ndiaye,21-24,D,CAF,179-186,11,9,780.0,0.0,0.0,0.0,1.0,0,0,5,0.0,1,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,48.80769230769231,0.1153846153846153,1.9615384615384612,0.3461538461538461,1.3846153846153846,3.3461538461538463,10.961538461538462,6.230769230769231,0.3461538461538461,0.2307692307692307,0.8076923076923076,1.3846153846153846,1.5,0.5769230769230769,0.0,0.1153846153846153,37.48936170212766,0.0,56.84210526315789,66.66666666666666,6.675769230769231
EUROPE 1,Abdoulaye Touré,28-31,M,UEFA,187-194,11,8,741.0,2.0,0.0,0.0,0.0,0,1,2,0.0,0,0.0,0.97165991902834,0.48582995951417,0.242914979757085,0.0,0.242914979757085,0.242914979757085,36.07287449392712,0.3643724696356275,1.45748987854251,0.48582995951417,1.0931174089068827,2.5506072874493926,8.744939271255062,4.7368421052631575,1.0931174089068827,0.3643724696356275,0.1214574898785425,2.064777327935223,1.5789473684210529,0.242914979757085,0.0,0.0,27.922558922558924,50.0,54.16666666666666,33.33333333333333,6.957489878542511
EUROPE 2,Abdu Conté,25-27,M,UEFA,179-186,23,17,1445.0,0.0,2.0,0.0,3.0,0,0,1,0.0,0,0.0622837370242214,0.3737024221453287,0.0,0.0,0.1245674740484429,0.1245674740484429,0.0,28.899653979238757,1.0588235294117647,1.681660899653979,0.1245674740484429,0.3114186851211072,1.9930795847750864,6.913494809688581,3.737024221453287,0.9342560553633218,0.7474048442906575,0.4359861591695501,1.0588235294117647,1.868512110726644,0.0622837370242214,0.0,0.0,21.49134199134199,0.0,54.054054054054056,80.0,6.81840830449827
EUROPE 1,Abdukodir Khusanov,21-24,D,AFC,179-186,21,15,1429.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.4408677396780965,0.0629811056682995,0.0,0.0,0.0,0.0,68.01959412176348,0.377886634009797,1.7004898530440868,0.5668299510146956,2.078376487053884,3.7788663400979705,5.731280615815256,3.4639608117564733,0.5668299510146956,0.4408677396780965,0.1889433170048985,0.377886634009797,0.8817354793561931,0.125962211336599,0.0,0.0,62.52685185185185,14.285714285714285,60.43956043956044,77.77777777777779,6.942687193841848
EUROPE 1,Abdulay Juma Bah,16-20,D,CAF,195-202,28,23,2063.0,0.0,0.0,0.0,1.0,0,0,6,0.0,0,0.1308773630634997,0.3053805138148328,0.0872515753756665,0.0,0.0,0.0,0.0,54.13960252060107,0.2617547261269995,1.5269025690741638,1.2651478429471643,1.2651478429471643,2.7920504120213283,8.33252544837615,4.493456131846825,0.5671352399418322,0.3926320891904992,0.523509452253999,0.3053805138148328,1.177896267571498,0.2617547261269995,0.0,0.0,56.60645161290323,28.57142857142857,53.92670157068062,69.23076923076923,6.824915172079495
EUROPE 2,Abdurrahim Dursun,25-27,D,UEFA,171-178,17,7,684.0,0.0,1.0,0.0,0.0,0,0,2,0.0,0,0.131578947368421,0.6578947368421052,0.131578947368421,0.0,0.131578947368421,0.131578947368421,0.0,33.81578947368421,1.3157894736842104,2.894736842105263,0.0,0.9210526315789472,3.81578947368421,9.605263157894736,5.13157894736842,1.0526315789473684,0.5263157894736842,0.9210526315789472,0.5263157894736842,1.0526315789473684,0.2631578947368421,0.0,0.0,18.762645914396888,20.0,53.42465753424658,50.0,6.6381578947368425
